,time,turbine,plantname,power,WS,WD,TEMPER,HUM,PRE,ws,onpower,wd
0,2013/9/1 0:00,001#,YMGZ,618.55,9.87,63.86,16.49,32.0,878.99,8.24,1116.81,354.5000571
1,2013/9/1 0:15,001#,YMGZ,743.77,9.85,63.68,16.2,31.0,879.04,8.53,1112.66,353.8752042
2,2013/9/1 0:30,001#,YMGZ,736.08,9.7,64.91,16.45,30.0,879.79,8.37,1113.0,356.3753589
3,2013/9/1 0:45,001#,YMGZ,695.37,9.34,67.78,16.78,29.56,879.81,8.1,1046.86,355.5715112
4,2013/9/1 1:00,001#,YMGZ,684.06,9.31,74.41,17.18,29.0,880.03,6.51,662.28,354.3750828
5,2013/9/1 1:15,001#,YMGZ,688.01,9.29,80.33,17.45,28.0,880.26,7.48,951.19,2.395326972
6,2013/9/1 1:30,001#,YMGZ,649.92,9.41,84.74,17.75,28.0,880.29,7.85,969.97,354.8749994
7,2013/9/1 1:45,001#,YMGZ,621.29,9.4,87.44,17.99,27.73,880.35,6.69,733.41,353.625103
8,2013/9/1 2:00,001#,YMGZ,605.25,9.38,89.83,18.19,27.0,880.52,7.66,763.84,350.6230068
9,2013/9/1 2:15,001#,YMGZ,594.21,9.32,94.0,18.4,27.0,881.32,7.15,847.68,4.141880785
10,2013/9/1 2:30,001#,YMGZ,594.38,9.3,98.25,18.61,27.0,881.37,7.39,988.81,5.499599849
11,2013/9/1 2:45,001#,YMGZ,582.28,9.32,102.06,18.75,27.0,881.5,6.42,668.97,3.244056852
12,2013/9/1 3:00,001#,YMGZ,592.93,9.11,103.45,18.95,27.73,881.58,,,
13,2013/9/1 3:15,001#,YMGZ,600.5,8.73,101.75,19.17,27.73,881.63,4.3,266.79,355.3331263
14,2013/9/1 3:30,001#,YMGZ,538.52,8.27,99.44,19.41,27.73,881.48,3.36,140.94,1.364914805
15,2013/9/1 3:45,001#,YMGZ,523.83,7.71,98.67,19.63,27.73,880.89,2.72,91.82,352.8569172
16,2013/9/1 4:00,001#,YMGZ,551.2,6.91,99.34,19.97,27.73,880.79,2.11,51.03,3.87923567
17,2013/9/1 4:15,001#,YMGZ,549.83,5.91,98.79,20.26,27.73,880.77,3.59,183.63,1.999046429
18,2013/9/1 4:30,001#,YMGZ,594.26,4.95,94.64,20.52,27.73,880.72,4.5,257.11,353.0010021
19,2013/9/1 4:45,001#,YMGZ,587.26,4.29,89.44,20.74,27.0,880.73,5.0,390.56,2.373249686
20,2013/9/1 5:00,001#,YMGZ,572.61,3.94,84.33,20.96,27.0,880.41,4.75,378.66,8.627142941
21,2013/9/1 5:15,001#,YMGZ,668.15,3.92,79.77,21.16,27.0,879.64,4.32,304.71,7.571049425
22,2013/9/1 5:30,001#,YMGZ,703.96,3.92,77.22,21.36,26.0,879.61,2.78,113.94,2.002324462
23,2013/9/1 5:45,001#,YMGZ,720.17,3.86,75.01,21.64,26.0,879.59,2.7,76.56,354.6161037
24,2013/9/1 6:00,001#,YMGZ,700.13,3.58,73.48,21.9,26.0,879.51,2.5,81.79,0.855814325
25,2013/9/1 6:15,001#,YMGZ,692.35,3.23,70.94,22.13,25.0,879.54,2.0,0.31,344.7111447
26,2013/9/1 6:30,001#,YMGZ,685.24,2.99,66.31,22.33,25.0,879.51,1.82,0.0,327.4990086
27,2013/9/1 6:45,001#,YMGZ,706.84,2.81,61.77,22.54,24.67,879.49,2.35,0.0,320.6707807
28,2013/9/1 7:00,001#,YMGZ,708.09,2.74,57.73,22.72,24.0,879.47,3.43,162.09,9.874885103
29,2013/9/1 7:15,001#,YMGZ,725.21,2.64,53.19,22.92,24.0,879.45,4.04,244.78,359.2503475
30,2013/9/1 7:30,001#,YMGZ,719.48,2.59,49.98,23.06,24.0,879.46,6.05,636.93,6.997646286
31,2013/9/1 7:45,001#,YMGZ,706.86,2.47,47.6,23.25,23.0,879.37,5.78,632.75,5.873580173
32,2013/9/1 8:00,001#,YMGZ,681.85,2.29,45.68,23.39,23.0,879.41,5.31,453.72,1.498302326
33,2013/9/1 8:15,001#,YMGZ,678.05,2.19,42.58,23.54,23.0,879.34,4.87,390.59,357.1248768
34,2013/9/1 8:30,001#,YMGZ,643.31,2.15,40.5,23.65,22.0,879.2,4.93,306.54,356.5716355
35,2013/9/1 8:45,001#,YMGZ,657.96,2.02,39.2,23.77,22.0,879.21,5.1,377.94,355.8743899
36,2013/9/1 9:00,001#,YMGZ,703.25,1.8,35.07,23.88,22.0,879.09,5.3,390.53,354.3747971
37,2013/9/1 9:15,001#,YMGZ,724.32,1.67,28.09,23.98,22.0,878.48,4.45,260.07,357.1409231
38,2013/9/1 9:30,001#,YMGZ,720.1,1.6,20.14,24.08,21.0,878.47,5.1,441.78,2.816122568
39,2013/9/1 9:45,001#,YMGZ,699.78,1.55,14.35,24.17,21.0,878.45,5.9,505.22,2.120838974
40,2013/9/1 10:00,001#,YMGZ,685.26,1.53,11.95,24.23,21.0,878.51,5.59,471.0,3.015013011
41,2013/9/1 10:15,001#,YMGZ,691.66,1.4,6.59,24.31,21.0,878.5,4.76,338.78,352.4983928
42,2013/9/1 10:30,001#,YMGZ,698.57,1.2,359.53,24.38,21.0,878.49,4.67,305.14,358.278403
43,2013/9/1 10:45,001#,YMGZ,736.98,0.98,348.28,24.4,20.95,879.17,4.06,236.84,355.8479314
44,2013/9/1 11:00,001#,YMGZ,728.11,0.78,334.52,24.45,20.95,879.4,3.97,213.69,3.854691808
45,2013/9/1 11:15,001#,YMGZ,724.64,0.6,314.75,24.5,20.95,879.64,2.98,132.84,3.486634058
46,2013/9/1 11:30,001#,YMGZ,675.92,0.56,285.75,24.52,20.95,879.7,4.85,344.18,0.248346952
47,2013/9/1 11:45,001#,YMGZ,642.15,0.72,249.45,24.52,21.0,879.74,4.51,237.44,344.7718539
48,2013/9/1 12:00,001#,YMGZ,597.17,1.14,229.68,24.52,21.0,879.83,4.46,286.28,1.504248513
49,2013/9/1 12:15,001#,YMGZ,473.03,1.76,223.49,24.44,21.0,879.9,3.92,182.84,1.572334505
50,2013/9/1 12:30,001#,YMGZ,396.96,2.32,222.04,24.39,21.56,879.89,3.62,201.64,10.43512609
51,2013/9/1 12:45,001#,YMGZ,279.25,2.88,222.81,24.34,22.0,880.03,3.48,93.47,354.2763584
52,2013/9/1 13:00,001#,YMGZ,293.18,3.22,225.41,24.27,22.0,879.92,4.32,276.75,356.3446202
53,2013/9/1 13:15,001#,YMGZ,278.6,3.39,229.82,24.21,23.0,880.3,2.83,63.63,346.6251195
54,2013/9/1 13:30,001#,YMGZ,228.03,3.45,236.62,24.14,23.0,879.94,2.23,0.0,15.72467412
55,2013/9/1 13:45,001#,YMGZ,194.56,3.37,247.96,24.0,24.0,879.93,2.57,45.88,4.857020244
56,2013/9/1 14:00,001#,YMGZ,226.19,3.16,266.5,23.81,24.0,879.97,3.64,109.47,1.815492654
57,2013/9/1 14:15,001#,YMGZ,149.26,3.23,293.89,23.51,24.0,879.87,2.97,115.19,12.14898164
58,2013/9/1 14:30,001#,YMGZ,106.56,3.97,322.17,23.17,23.73,879.61,2.61,69.0,7.147509367
59,2013/9/1 14:45,001#,YMGZ,101.19,5.37,344.09,22.77,23.11,878.17,2.37,0.0,314.3683781
60,2013/9/1 15:00,001#,YMGZ,146.9,7.13,357.54,22.3,22.67,877.81,1.82,0.0,29.25846931
61,2013/9/1 15:15,001#,YMGZ,152.01,8.54,3.9,21.69,21.0,877.97,2.57,0.0,9.455864031
62,2013/9/1 15:30,001#,YMGZ,104.56,9.54,5.72,21.2,20.95,874.15,1.74,1.64,354.5280854
63,2013/9/1 15:45,001#,YMGZ,164.02,10.15,6.15,20.84,20.0,873.82,1.98,0.0,10.80546383
64,2013/9/1 16:00,001#,YMGZ,174.86,10.35,7.48,20.78,20.0,873.99,0.81,0.0,339.5411843
65,2013/9/1 16:15,001#,YMGZ,103.72,4.93,34.1,23.31,21.0,872.83,0.96,0.0,300.9418835
66,2013/9/1 16:30,001#,YMGZ,102.43,4.95,39.17,23.28,22.0,872.55,0.95,0.0,329.2563005
67,2013/9/1 16:45,001#,YMGZ,98.81,5.16,45.92,23.18,22.0,873.22,1.46,0.0,172.0818207
68,2013/9/1 17:00,001#,YMGZ,144.68,5.93,55.68,23.0,22.0,873.96,1.63,0.0,293.4348277
69,2013/9/1 17:15,001#,YMGZ,88.77,7.38,64.87,22.58,23.0,875.4,1.41,0.0,145.6767085
70,2013/9/1 17:30,001#,YMGZ,15.16,8.9,67.85,21.88,23.0,877.5,1.57,0.0,115.0604358
71,2013/9/1 17:45,001#,YMGZ,29.53,9.56,67.01,21.26,23.0,877.97,1.64,0.0,162.7328208
72,2013/9/1 18:00,001#,YMGZ,30.01,10.18,60.92,20.6,23.0,877.37,0.61,0.0,145.8299808
73,2013/9/1 18:15,001#,YMGZ,100.76,10.83,54.5,19.71,23.0,877.94,1.44,0.0,112.9767455
74,2013/9/1 18:30,001#,YMGZ,235.14,11.36,51.77,18.93,22.0,877.56,2.03,0.0,117.7436387
75,2013/9/1 18:45,001#,YMGZ,273.28,11.52,51.38,18.5,21.0,879.0,0.85,0.0,125.1702739
76,2013/9/1 19:00,001#,YMGZ,203.58,11.74,48.65,18.27,21.0,879.04,1.96,0.0,150.7049441
77,2013/9/1 19:15,001#,YMGZ,170.41,11.79,49.71,18.17,21.56,877.87,2.08,0.0,179.5117263
78,2013/9/1 19:30,001#,YMGZ,129.39,11.45,51.26,18.03,22.0,878.67,1.15,0.0,120.586103
79,2013/9/1 19:45,001#,YMGZ,126.77,10.93,52.37,17.92,22.0,879.2,1.93,0.0,123.9963135
80,2013/9/1 20:00,001#,YMGZ,115.69,10.51,52.67,17.77,23.0,878.89,2.59,0.0,111.6354202
81,2013/9/1 20:15,001#,YMGZ,163.06,10.29,53.09,17.64,23.0,879.32,2.51,38.41,7.672917946
82,2013/9/1 20:30,001#,YMGZ,196.4,10.18,52.28,17.48,23.56,879.3,1.84,33.14,3.717379512
83,2013/9/1 20:45,001#,YMGZ,216.61,10.05,51.93,17.29,24.0,879.33,2.0,53.59,3.869622079
84,2013/9/1 21:00,001#,YMGZ,266.46,9.76,53.47,17.19,24.0,879.33,1.74,19.88,0.00301585
85,2013/9/1 21:15,001#,YMGZ,266.29,9.57,55.15,17.07,24.56,879.34,1.76,0.0,342.1144549
86,2013/9/1 21:30,001#,YMGZ,276.35,9.62,54.95,16.97,25.0,879.29,1.75,0.0,356.1638103
87,2013/9/1 21:45,001#,YMGZ,253.31,9.76,55.45,16.84,25.0,879.26,1.9,0.0,35.96273527
88,2013/9/1 22:00,001#,YMGZ,275.86,10.02,55.48,16.69,26.0,879.4,5.19,177.84,49.6891192
89,2013/9/1 22:15,001#,YMGZ,302.31,10.34,55.29,16.56,26.0,879.34,5.32,423.34,4.495165597
90,2013/9/1 22:30,001#,YMGZ,380.36,10.68,55.21,16.35,26.0,879.35,3.92,256.22,359.7469066
91,2013/9/1 22:45,001#,YMGZ,457.84,10.93,54.91,16.19,27.0,879.4,5.41,494.04,8.431233471
92,2013/9/1 23:00,001#,YMGZ,584.73,11.07,55.24,16.07,27.0,879.42,4.37,316.88,6.490587792
93,2013/9/1 23:15,001#,YMGZ,690.87,11.14,55.52,15.94,27.0,880.15,7.06,802.0,1.998278968
94,2013/9/1 23:30,001#,YMGZ,717.92,11.29,54.43,15.86,27.0,880.19,4.18,308.19,4.370835197
95,2013/9/1 23:45,001#,YMGZ,732.15,11.21,56.18,15.79,27.56,880.3,4.0,218.18,9.184163005
96,2013/9/2 0:00,001#,YMGZ,720.32,11.14,56.08,15.79,28.0,880.72,4.5,234.34,352.2522729
97,2013/9/2 0:15,001#,YMGZ,391.98,10.94,56.79,15.84,27.0,880.82,3.04,143.72,4.99965441
98,2013/9/2 0:30,001#,YMGZ,397.57,10.83,60.34,15.47,25.56,880.92,2.18,74.44,6.999426324
99,2013/9/2 0:45,001#,YMGZ,415.21,10.4,62.54,15.88,25.0,880.87,2.85,148.56,3.842366684
100,2013/9/2 1:00,001#,YMGZ,466.99,10.5,67.78,16.28,24.0,881.0,4.52,30.21,119.0326526
101,2013/9/2 1:15,001#,YMGZ,588.02,10.52,72.97,16.66,23.0,881.95,5.92,380.78,335.9816075
102,2013/9/2 1:30,001#,YMGZ,668.9,10.66,78.13,17.01,22.0,882.05,7.19,832.25,358.7500714
103,2013/9/2 1:45,001#,YMGZ,719.41,10.71,82.59,17.26,22.0,882.16,7.16,889.31,0.249681033
104,2013/9/2 2:00,001#,YMGZ,780.54,10.63,85.67,17.56,22.0,882.26,7.4,948.91,0.624288473
105,2013/9/2 2:15,001#,YMGZ,823.57,10.45,88.58,17.8,21.0,882.5,7.71,1064.11,0.856680929
106,2013/9/2 2:30,001#,YMGZ,891.93,10.13,90.98,18.12,20.95,882.56,6.85,934.13,359.6250982
107,2013/9/2 2:45,001#,YMGZ,882.89,9.75,92.81,18.41,20.0,882.65,8.16,1135.28,355.2490332
108,2013/9/2 3:00,001#,YMGZ,897.96,9.34,94.2,18.72,20.0,882.67,,,
109,2013/9/2 3:15,001#,YMGZ,924.78,8.7,94.27,19.04,19.0,882.68,7.33,852.0,356.0
110,2013/9/2 3:30,001#,YMGZ,879.63,8.08,93.44,19.32,19.0,882.79,7.62,891.25,355.4284888
111,2013/9/2 3:45,001#,YMGZ,818.73,7.44,92.08,19.61,19.0,882.68,6.9,802.28,0.00011425
112,2013/9/2 4:00,001#,YMGZ,814.44,6.73,91.82,19.91,19.0,882.55,7.07,839.47,359.7498143
113,2013/9/2 4:15,001#,YMGZ,776.64,6.11,91.92,20.21,18.0,882.56,6.73,783.03,359.1246481
114,2013/9/2 4:30,001#,YMGZ,777.74,5.44,92.7,20.52,18.0,881.85,6.58,736.25,358.3752876
115,2013/9/2 4:45,001#,YMGZ,759.93,4.69,92.44,20.83,18.0,881.81,6.68,799.36,5.573062351
116,2013/9/2 5:00,001#,YMGZ,726.17,4.19,91.41,21.13,17.0,881.82,7.21,834.72,356.8774508
117,2013/9/2 5:15,001#,YMGZ,746.97,3.88,88.81,21.38,17.0,881.7,5.99,590.03,1.624783969
118,2013/9/2 5:30,001#,YMGZ,712.32,3.52,85.51,21.57,17.0,881.63,5.49,490.19,4.748040832
119,2013/9/2 5:45,001#,YMGZ,704.26,3.19,80.7,21.85,16.0,881.47,5.29,424.71,358.1422926
120,2013/9/2 6:00,001#,YMGZ,717.57,2.92,75.65,22.06,16.0,881.45,5.37,393.91,358.2460164
121,2013/9/2 6:15,001#,YMGZ,707.89,2.75,71.44,22.34,15.0,881.56,4.48,272.0,354.8385548
122,2013/9/2 6:30,001#,YMGZ,742.74,2.69,68.43,22.54,14.56,881.52,4.41,279.0,0.374315925
123,2013/9/2 6:45,001#,YMGZ,768.43,2.76,68.03,22.71,14.56,881.48,5.03,400.72,2.624864905
124,2013/9/2 7:00,001#,YMGZ,771.75,2.77,68.04,22.89,14.0,881.49,4.46,305.36,356.2806901
125,2013/9/2 7:15,001#,YMGZ,782.33,2.85,67.49,23.0,14.0,881.31,5.41,449.81,4.121525609
126,2013/9/2 7:30,001#,YMGZ,791.09,2.84,66.43,23.13,14.0,881.35,5.64,544.43,0.687201965
127,2013/9/2 7:45,001#,YMGZ,814.17,2.77,65.36,23.29,13.73,880.57,6.57,655.41,355.499714
128,2013/9/2 8:00,001#,YMGZ,786.76,2.64,64.8,23.42,13.0,880.6,6.78,613.11,350.1430392
129,2013/9/2 8:15,001#,YMGZ,765.62,2.5,64.42,23.61,13.0,880.58,6.83,580.41,347.9998857
130,2013/9/2 8:30,001#,YMGZ,740.96,2.44,65.47,23.72,12.0,880.51,5.91,632.86,359.4272658
131,2013/9/2 8:45,001#,YMGZ,747.57,2.43,66.75,23.82,12.0,880.53,5.83,688.28,1.5
132,2013/9/2 9:00,001#,YMGZ,814.33,2.5,68.27,23.92,12.0,880.38,5.78,520.79,3.286925749
133,2013/9/2 9:15,001#,YMGZ,839.22,2.51,70.96,23.99,12.0,880.35,4.64,345.16,6.71760077
134,2013/9/2 9:30,001#,YMGZ,834.76,2.56,74.28,24.05,12.0,880.25,4.28,271.38,8.635850283
135,2013/9/2 9:45,001#,YMGZ,822.23,2.58,78.16,24.11,12.0,879.64,3.89,231.38,1.37354806
136,2013/9/2 10:00,001#,YMGZ,803.89,2.68,81.59,24.16,12.0,880.44,4.23,254.86,2.006300431
137,2013/9/2 10:15,001#,YMGZ,799.92,2.76,83.45,24.21,12.0,880.42,4.14,221.03,358.3648236
138,2013/9/2 10:30,001#,YMGZ,775.86,2.86,84.58,24.26,12.0,880.59,5.4,438.97,357.5002293
139,2013/9/2 10:45,001#,YMGZ,781.43,2.95,86.53,24.29,12.0,880.66,6.02,561.47,355.2398478
140,2013/9/2 11:00,001#,YMGZ,741.39,2.98,88.65,24.29,11.0,880.67,7.81,836.41,358.2280881
141,2013/9/2 11:15,001#,YMGZ,699.69,3.02,88.75,24.29,11.0,880.67,7.81,942.25,357.9513572
142,2013/9/2 11:30,001#,YMGZ,649.78,2.87,90.27,24.24,11.0,880.64,7.2,902.84,5.282425397
143,2013/9/2 11:45,001#,YMGZ,598.36,2.81,92.52,24.3,12.0,880.63,6.44,679.97,357.5826645
144,2013/9/2 12:00,001#,YMGZ,574.87,2.74,94.34,24.23,12.0,880.68,6.79,702.31,1.722339935
145,2013/9/2 12:15,001#,YMGZ,503.14,2.76,94.15,24.19,12.0,880.57,5.93,524.97,354.3722872
146,2013/9/2 12:30,001#,YMGZ,428.83,2.91,91.64,24.12,12.0,880.56,5.22,373.14,354.8539898
147,2013/9/2 12:45,001#,YMGZ,322.75,3.16,88.25,24.09,13.0,880.5,4.36,328.5,2.000627678
148,2013/9/2 13:00,001#,YMGZ,335.9,3.41,87.22,24.05,13.0,880.17,5.22,399.91,356.6782571
149,2013/9/2 13:15,001#,YMGZ,329.19,3.67,86.06,24.0,13.0,879.9,3.78,203.53,354.9715482
150,2013/9/2 13:30,001#,YMGZ,250.42,3.93,85.34,23.99,13.0,879.38,4.53,243.96,358.1248406
151,2013/9/2 13:45,001#,YMGZ,168.04,4.2,85.54,23.92,13.73,879.32,4.51,262.03,357.8670484
152,2013/9/2 14:00,001#,YMGZ,187.12,4.53,86.04,23.85,14.0,878.95,3.57,136.59,0.676242857
